Topic1,Topic2,Topic3,SubLine1,SubLine2,SubLine3,SubLine4,SubLine5
Abandoned Cart,Christmas,Jeans, Last chance to get your favorite jeans in time for Christmas!," Don't let Santa fill his cart, but not yours!", Christmas Sale: up to 20% off on our bestselling jeans!, Reminder: Items in your cart are running out of stock - Hurry and complete your Christmas shopping!, Missing something? Your jeans are waiting for you in the abandoned cart.
Travel,Coupons,Fall, Fall into savings with our exclusive travel coupon codes!, Plan your autumn adventure with these amazing travel discounts!, Unbe-leaf-able deals: Save big on fall travel with these coupons!, Wander where the wifi is weak this fall with our travel deals and discounts., Travel in style this season with coupons for luxury train journeys.
Welcome,Dollar Range [X$ - Y$],Yes., Welcome! Your dollar range of X$ - Y$ is confirmed.," Yes, You heard it right! Dollar range [X$ - Y$] now available on our platform, Welcome!", Attention please! Welcome to our platform with a new dollar range that will surely make you say YES!, Welcome aboard with Dollar Range [X$ - Y$]: Say yes to exciting opportunities!, Let's start the journey with a big Welcome and the exciting Dollar Range [X$ - Y$]. Ready to say yes?
Retail,,, Welcome to the world of Retail, Thanks for choosing Retail as your destination, Giving thanks to our valued customers in Retail, Shop Retail to make your loved ones happy, Retail - Your one-stop-shop for all your needs
Auto,Points,Winter, Don't let winter slow you down! Upgrade your auto points now., Earn twice the points this winter with our auto rewards program., Winterize your auto and earn bonus points with our seasonal offer., Save money on winter auto maintenance with our loyalty points program., Get exclusive winter deals with your auto points membership.
Fashion,Dollar Range [X$ - Y$],Spring, New Spring Fashion Arrivals Starting at Just $X, Affordable Spring Fashion for Under Y Dollars, Get Your Spring Wardrobe Refreshed with Fashionable Outfits, Spring Fashion Must-Haves on a Budget, Discover the Hottest Spring Styles for X to Y Dollars
New Launch,Winter,Deadline [X days/hours left], Don't miss out on our new winter collection - limited time only!, Only X days left to shop our new launch and get winter ready!, Introducing our new winter collection - shop now before it's gone!, New launch alert: winter essentials with a limited time offer!, Time is running out - shop our new winter collection before the deadline!
Retail,,, Get the Perfect Christmas Gifts for Your Loved Ones with Our Retail Products, Don't Miss the Deadline: Shop Our Exclusive Retail Collection Today, Christmas Deals on Your Favorite Retail Products, Limited Time Offer: Buy One Get One Free on All Retail Items, Last Minute Shopping? Our Retail Store Has Got You Covered.
Dollar Range [X$ - Y$],Black Friday,[Brand Name], Huge Black Friday Savings on [Brand Name] - Get Dollar Range [X$ - Y$] Off Today!, [Brand Name] Black Friday Sale: Don't Miss the Chance to Save Dollar Range [X$ - Y$]!, The Ultimate Black Friday Deals: Save Dollar Range [X$ - Y$] on [Brand Name] Products!, Black Friday Alert: Get Dollar Range [X$ - Y$] Off on All [Brand Name] Items!, Black Friday Madness Continues! Save Dollar Range [X$ - Y$] on Your Favorite [Brand Name] Products!
% Discount,[Brand Name],Jeans, [Brand Name] Jeans Discount Alert: Up to [discount]% Savings on All Jeans Styles! , Don't Miss Out on Exclusive [Brand Name] Jeans Discount - Limited Time Only , Save Big on [Brand Name] Jeans: Up to [discount]% Off All Denim Styles , [Brand Name] Jeans Sale - Get [discount]% Off All Jeans Styles Today , Last Chance to Save on [Brand Name] Jeans - Up to [discount]% Discount Expires Soon
Re-engagement,Gift Cards,Halloween, Last chance to grab gift cards this Halloween season , Treat yourself to a gift card and get ready for Halloween , Spooky savings await! Re-engage and receive a Halloween gift card , Haven't heard from us in a while? Re-engage now and get a complimentary Halloween gift card ," Get your Halloween shopping started with a gift card, exclusively for our re-engaged customers."
Fall,Halloween,Dress, Spice up your fall wardrobe with the perfect Halloween dress, Get dressed up for Halloween with these fantastic fall fashion trends," From pumpkin patches to Halloween parties, this dress is perfect for all your fall festivities", Celebrate the spooky season in style with this fall dress for Halloween, Turn heads this fall with the perfect Halloween dress featuring the colors of the season.
Units left [X units left],Sports,[X item], Last chance to get your hands on [X item] before it runs out, Don't miss out on [X item] and Sports gear with only [X units left], Sports gear countdown: [X units left] of [X item] remaining, Limited stock alert: Only [X units left] for [X item] and Sports gear, Get your sports gear before it's too late: Only [X units left] of [X item] available
Clearance,Valentine's,Dress., Valentine's Day Clearance: Up to 50% off on Dresses!, Last chance to grab your Valentine's Day Dress on Clearance!," Valentine's Dress Clearance: Limited Stock, Big Discount!", Clearance Sale Alert: Shop the Perfect Valentine's Day Dress Now!, Hurry! Get the Best Valentine's Day Dress at Clearance Prices!
Travel,Spring,Back to School, Get ready for spring travels with these back-to-school deals!, Travel essentials for your spring/back-to-school break!, Find your perfect spring getaway and start the school year right!, From school to travel: Must-haves for a successful spring break!, How to balance school and travel this spring season!
Gift Cards,Back to School,[X item], Give the Gift of Shopping: Back to School Gift Cards for [X item], A Smart Way to Save: Back to School Gift Cards for [X item] with Bonus Offers, Surprise Your Loved Ones: Give the Gift of [X item] with Gift Cards Today!, Get Ready for Back to School with [X item]: Give a Gift Card & Save More!, Make Back to School Shopping Easy: Get [X item] Gift Cards for Your Kids!
Re-engagement,% Discount,Sports, We Miss You! Get 20% OFF on Sports Gear, Come Back to the Field with 15% Discount, Exclusive Offer for Loyal Sports Fans, Your Favorite Sports Gear is on SALE + EXTRA Savings, Reconnect with the Game and Save 25% on Your Order
Retargeting,% Discount,[Brand Name], Exclusive Offer: Come back and enjoy a discount on [Brand Name]!, Your wait is over - [Brand Name] is offering a special discount for you!, You've left something behind - here's a discount on [Brand Name] products with our retargeting program., [Brand Name] is back with a tempting discount - just for you!, Get more value from [Brand Name] - redeem your exclusive retargeting discount now.
Retail,,, Welcome to Our Retail Store: Shop the Latest Trends and Get Great Deals, Up to 50% Off: Don't Miss Our Huge Retail Sale, Save Big on Retail: Exclusive Offer Inside, Discover Our Exciting Range of Retail Products: Shop Now," Stepping Up Our Retail Game: New Products, New Prices."
Retargeting,,, Last chance to take advantage of our retargeting offer, Don't leave your retargeting strategy incomplete, Secure your business with retargeting before your competition does, Only [X units left]: Retargeting package offer," Yes, retargeting is the missing piece to your digital marketing plan"
Points,Summer,Units left [X units left], Last chance! Earn bonus points this summer and use them towards your degree., Don't let summer slip away! Only X units left to reach your academic goals., Maximize your summer: earn extra points with these courses., X units left to make this the best summer yet – don't slow down now!," Makin' moves this summer: earn points, rock your degree."
Travel,New Launch,[Brand Name], Explore [Brand Name]'s New Launch: Perfect for Your Next Travel Adventure! , Plan Your Next Escape with [Brand Name]'s Exciting New Launch , Introducing [Brand Name]'s Newest Addition: The Ultimate Travel Companion, Embark on a Journey with [Brand Name]'s Latest Launch Perfect for Travel Lovers , Discover [Brand Name]'s Revolutionary New Launch - A Must-Have for Travel Enthusiasts
Domain,Summer,[X item], New Summer arrivals from [X item] for your domain, The perfect summer essentials for your domain , [X item] summer collection now available for your domain , Enjoy a discount on summer products for your domain , Elevate your domain this summer with [X item] products
Domain,New Launch,Deadline [X days/hours left]," Don't Miss Out, Launching New Domains with Only X Days Left!", Act Now! Our Domain Launch is Almost Over, New Domains Added - Grab Yours Before Time Runs Out, Last Chance to Register Your Domain Before the Deadline, Get Ready for the Future with Our New Domain Launch!
Retargeting,Spring,Units left [X units left], Last chance to redeem Spring offer before we retarget you!, Hurry! Only X units left of our Spring inventory, Retargeting alert: Don't miss out on our limited Spring collection!, Reminder: X units left of our Spring stock! Retargeting campaign starting soon, Retargeting in progress: Grab your Spring favorites before they're gone!
Domain,Coupons,Winter., Winter Sale: Get 20% off on all domains with our exclusive coupons!, Last chance to save big! Use our coupons to get domain discounts this winter!, Unlock amazing discounts on domains this winter with our exclusive coupons!, Upgrade your website this winter: Use our coupons to grab a new domain at a discounted price!, Winter savings alert: Secure your domain today with our coupons and save big!
Auto,Gift Cards,Fall, Rev Up Your Fall with Auto Deals + Gift Cards, Get in Gear for Fall Savings with Auto Discounts & Gift Cards, Cruise into Fall with Auto Promotions and Gift Card Bonuses, Fall into Savings with Auto Discounts and Gift Card Giveaways, Upgrade Your Fall with Auto Enhancements and Gift Card Rewards
Gifts,Summer,Black Friday, Beat the heat with amazing summer gift ideas on Black Friday, Celebrate summer with our Black Friday gift guide, Black Friday deals you can't miss on summer gifts, Give the gift of summer this Black Friday, Make the most of Black Friday sales and get your gifts for summer
Welcome,Deadline [X days/hours left],Thanks Giving, Welcome to our Thanks Giving Sale! X days left to save!, Deadline approaching: X hours left to take advantage of our Welcome offer, Last chance to save - Welcome to our Thanks Giving Sale!, Don't miss out on our Welcome offer - X days left to save!, Thanks for joining us - take advantage of our holiday sale before it's over!
